name,firstdet,firstdetmag,lastnondet,texp,risetime,risetimee,plateaustart,plateaustarte,plateauend,plateauende,tailstart,tailstarte,tailstartmag,plateaustartmag,plateauendmag,plateaumidmag,last_tail
ZTF22abtjefa,59895.31,-13.97,59889.41,59892.36,16.0,0.34,59911.71,0.06,59978.21,15.01,60007.41,6.26,16.77,15.4,15.39,-15.02,0
ZTF24aaplfjd,60460.47,-14.81,60459.47,60459.97,nan,nan,60482.97,0.08,60557.57,4.6,60592.37,2.45,19.82,18.34,18.52,-15.93,0
ZTF19aamhmsx,58556.48,-17.92,58543.52,58550.0,nan,nan,58563.8,0.07,58646.8,1.36,58678.19,0.0,20.46,18.51,19.23,-17.93,1
ZTF23aaphnyz,60118.24,-17.12,60117.36,60117.8,nan,nan,60128.01,0.07,60205.51,10.7,60234.14,0.0,19.02,17.71,18.07,-17.78,1
ZTF23abnogui,60244.49,-15.19,60236.51,60240.5,nan,nan,60254.29,0.09,60341.59,4.34,60367.89,5.66,18.09,16.05,16.56,-15.52,0
ZTF24aajxppf,60416.48,-17.47,60414.48,60415.48,nan,nan,60427.17,0.12,60479.87,4.64,60510.37,11.14,18.99,16.95,17.67,-17.61,0
ZTF24aaejecr,60351.23,-15.78,60341.39,60346.31,nan,nan,60357.63,0.07,60435.93,2.34,60464.83,1.45,18.87,16.78,17.21,-15.84,0
ZTF19aailepg,58522.42,-17.05,58514.42,58518.42,nan,nan,58526.49,0.1,58627.39,10.31,58667.22,0.0,19.82,18.48,18.78,-16.91,1
ZTF22aaolwsd,59751.43,-17.04,59743.43,59747.43,12.6,0.22,59765.23,0.07,59870.03,20.03,59885.23,0.0,18.18,15.9,17.31,-17.35,1
ZTF19abqrhvt,58715.42,-17.41,58711.4,58713.41,nan,nan,58726.12,0.1,58773.52,1.96,58800.25,0.0,19.03,16.83,17.56,-17.68,1
ZTF21aapkcmr,59290.39,-17.44,59280.43,59285.41,nan,nan,59290.39,0.1,59344.49,4.56,59367.35,0.0,20.41,18.13,19.07,-17.18,1
ZTF21aaqugxm,59300.33,-17.2,59298.42,59299.375,nan,nan,59311.19,0.05,59360.29,8.87,59388.19,7.22,18.27,16.54,17.2,-17.73,0
ZTF23abhzfww,60220.46,-17.53,60208.5,60214.479999999996,nan,nan,60220.5,0.07,60310.5,3.04,60351.8,5.8,20.0,18.01,18.55,-17.33,0
ZTF22abnujbv,59871.42,-16.12,59867.47,59869.445,nan,nan,59878.62,0.1,59931.82,20.7,59969.32,12.53,18.71,16.57,16.88,-16.21,0
ZTF24abtczty,60628.28,-13.4,60627.39,60627.835,12.2,0.38,60640.48,0.05,60739.58,1.46,60771.08,1.69,18.65,16.64,16.6,-14.13,0
ZTF22aativsd,59774.36,-16.19,59772.44,59773.4,11.6,0.2,59786.46,0.07,59857.66,1.94,59880.66,1.81,17.99,16.45,17.05,-17.77,0
ZTF19acewuwn,58772.21,-16.32,58771.26,58771.735,nan,nan,58792.7,0.08,58855.5,8.03,58892.14,0.0,19.71,18.5,18.62,-16.85,1
ZTF23aailjjs,60063.44,-17.5,60061.45,60062.445,nan,nan,60071.87,0.04,60132.07,2.45,60163.97,1.73,19.94,17.87,18.37,-17.56,0
ZTF20aapchqy,58901.88,-13.66,58895.53,58898.705,nan,nan,58903.51,0.09,59011.61,1.57,59030.21,2.13,19.47,17.44,16.99,-13.88,0
ZTF24aaemydm,60354.21,-17.58,60351.36,60352.785,nan,nan,60359.41,0.04,60423.71,5.61,60449.71,8.87,17.75,15.76,16.35,-17.49,0
ZTF21acgrrnl,59496.38,-15.66,59489.5,59492.94,nan,nan,59506.45,0.16,59583.45,14.75,59622.28,0.0,19.84,18.51,18.4,-16.19,1
ZTF23abaxtlq,60192.37,-15.61,60191.43,60191.9,nan,nan,60204.03,0.07,60279.23,8.26,60326.13,10.33,20.36,17.54,18.23,-16.18,0
