oid,ndethist,ncovhist,mjdstarthist,mjdendhist,corrected,stellar,ndet,g_r_max,g_r_max_corr,g_r_mean,g_r_mean_corr,firstmjd,lastmjd,deltajd,meanra,meandec,sigmara,sigmadec,class,classifier,probability,step_id_corr
ZTF22abtjefa,176,1654,59895.30665510008,60326.21549770003,False,False,105,0.460741,,0.21509784,,59895.30665510008,60326.21549770003,430.90884259995073,117.44445056373928,73.65946777218356,0.07920319853525179,0.022283479008029922,,,,1.2.1
ZTF24aaplfjd,174,2001,60460.46599540021,60581.460706000216,True,False,63,,,,,60460.46599540021,60581.460706000216,120.9947106000036,14.505587399995347,30.706595399986924,0.09886091926519297,0.08499998181806759,,,,24.5.2a6
ZTF19aamhmsx,58,137,58556.50359949982,58669.182453699876,False,False,41,0.17172813,,0.6013279,,58556.50359949982,58669.182453699876,112.67885420005769,242.59006080487805,11.918191382926828,3.151303659890878e-05,2.3657503063924062e-05,,,,corr_bulk_0.0.1
ZTF23aaphnyz,365,4063,60118.25,60255.25,False,False,76,-0.11029,-0.244966,0.3805531,0.14816555,60118.262604199816,60255.13634259999,136.87373840017244,252.15089623815786,41.60074397105263,2.6581040696702053e-05,2.1405755087717195e-05,,,,1.2.1
ZTF23abnogui,130,1489,60244.48626160016,60483.26289349981,False,False,76,0.108308434,,0.13364977,,60249.49072920019,60483.26289349981,233.77216429961845,185.8804292640088,74.95039338233671,0.031062878972799184,0.00806563955065895,,,,24.5.1
ZTF24aajxppf,113,2120,60416.479328699876,60555.17152780015,True,False,81,,,,,60418.372430600226,60555.17152780015,136.7990971999243,269.5901442399928,9.681528220000043,0.03856236954757908,0.0380131539258534,,,,24.5.2a6
ZTF24aaejecr,140,4825,60351.3520717998,60452.291273099836,False,False,38,,,,,60352.4760532002,60452.291273099836,99.81521989963949,174.80978008987407,56.26060586499999,0.02616855400903189,0.014534441292939525,,,,24.4.1
ZTF19aailepg,83,377,58514.464629599825,58661.20075230021,False,False,66,0.21676064,,0.4470234,,58514.464629599825,58661.20075230021,146.73612270038575,169.46773416818183,30.156519503030303,3.86977286535033e-05,3.956582040747674e-05,,,,corr_bulk_0.0.1
ZTF22aaolwsd,349,3079,59748.5,59885.25,False,False,195,0.054785,,0.6315475,,59748.41299769981,59885.25829860009,136.8453009002842,357.77133741641023,20.152478406153847,1.3359082684918818e-05,1.9031733214558053e-05,,,,1.1.6
ZTF19abqrhvt,32,223,58715.41908559995,58838.09071760019,False,False,31,-0.040346146,,-0.09770584,,58715.41908559995,58838.09071760019,122.67163200024515,3.81334093548387,-8.189415422580645,2.6069401583553436e-05,1.568431721348906e-05,,,,corr_bulk_0.0.1
ZTF21aapkcmr,72,906,59290.39204860013,59363.37493060017,False,False,33,0.323422,,0.4630964,,59290.402083300054,59363.37493060017,72.97284730011597,215.9278199939394,28.34603248181818,2.7620903990820442e-05,4.3680104556547104e-05,,,,correction_0.0.1
ZTF21aaqugxm,216,2033,59300.25,60086.25,False,False,72,0.057381,1.0037519,0.51167464,1.0037519,59300.32634259993,60086.219826399814,785.8934837998822,173.6905635097222,42.96536071805556,2.4087289380771568e-05,1.874279073694886e-05,,,,1.2.0
ZTF23abhzfww,60,1407,60221.464479200076,60340.353703700006,False,False,36,0.015098,,0.37334895,,60222.46674769977,60340.353703700006,117.88695600023493,131.47720736391713,12.786722524142306,0.020011817091381858,0.01951553712406195,,,,1.2.1
ZTF22abnujbv,83,978,59870.5,60052.25,False,False,48,0.136864,,-0.2620136,,59871.42359950021,60052.15688659996,180.73328709974885,103.52138674166667,8.570356460416667,2.4553466048992357e-05,2.55664485887225e-05,,,,1.1.6
ZTF24abtczty,99,2296,60634.40729170013,60743.24175930023,False,False,27,,,,,60635.24664349994,60743.24175930023,107.99511580029503,94.50467562959527,78.3670892074074,0.062037399275314355,0.01250925537360512,,,,26.0.1
ZTF22aativsd,178,2223,59774.25,60056.5,False,False,120,0.176325,,0.15801091,,59774.409293999895,60056.486840299796,282.07754629990086,335.62312307499997,36.004988087499996,3.4629023747742715e-05,2.3081330672765548e-05,,,,1.2.0
ZTF19acewuwn,64,386,58772.21146989986,58881.1233680998,False,False,51,0.3905697,,0.43982506,,58774.20246529998,58881.1233680998,106.92090279981494,350.07193399803924,35.493164845098036,4.170955041883642e-05,3.931846036531166e-05,,,,corr_bulk_0.0.1
ZTF23aailjjs,204,3496,58580.5,60165.25,False,False,53,-0.025505,,0.38576615,,60063.443935200106,60165.21865739999,101.77472219988704,252.1780309679245,35.94928812075472,2.2039263683728335e-05,1.4051968908156242e-05,,,,1.2.0
ZTF20aapchqy,193,1482,58898.53064810019,59025.18328699982,False,False,132,0.52745056,,0.8208885,,58898.53064810019,59025.18328699982,126.65263889962807,261.6219564878788,71.09406328333333,3.370474411205788e-05,1.387974616793523e-05,,,,corr_bulk_0.0.1
ZTF24aaemydm,63,510,60352.25553240022,60445.213379600085,False,False,30,,,,,60352.25553240022,60445.213379600085,92.95784719986841,148.61882504674907,-18.636362219182736,0.020220495044725666,0.01916024881911365,,,,24.4.1
