name,firstdet,firstdetmag,jump,lastnondet,texp,gap,Npre_g,Npre_r,Npost_g,Npost_r,slope_peak_r,slope_peak_g,slope_peak_r10,slope_peak_g10,peakr,peakre,peakg,peakge,peakrmjd,peakgmjd,redshift,peakr_app,peakg_app,mean_EW,AV_NaD,colorexcess,Avhost,peakrhost,peakghost,peakr_apphost,peakg_apphost,magnitude_change_after,magnitude_change_before,panstarrs_r_mag,panstarrs_r_mag_err,pipeline_ineffciency_host,pipeline_ineffciency_targetbyhost
ZTF18aaegvyd,58608.19,-16.87,0.16,58605.23,58606.71000000001,3.0,0.0,0.0,3.0,32.0,-0.0,-0.03,-0.0,-0.02,-17.03,0.0,-16.98,0.0,58617.23,58608.19,0.0235,18.095364763979305,18.145364763979305,,,,0.0,-17.03,-16.98,18.1,18.15,0.2,,20.065025084571474,0.002696207367706465,0.9963222637238099,0.9196684179423923
ZTF18aaqkywr,59670.36,-15.76,1.01,59641.37,59655.865000000005,29.0,49.0,49.0,135.0,185.0,-0.0,-0.0,-0.01,-0.02,-16.77,0.0,-16.52,0.0,59686.36,59678.41,0.03118,18.981819407868276,19.231819407868276,,,-0.2586508022909454,0.0,-16.77,-16.52,18.98,19.23,0.4,,20.758077152719324,0.0039039366027645165,0.9735530141762669,0.9021279463053871
ZTF18aaqpowv,60444.2,-16.71,0.71,60442.22,60443.21,2.0,11.0,5.0,55.0,25.0,-0.0,-0.0,-0.01,-0.04,-17.42,0.0,-17.56,0.0,60458.22,60454.2,0.0324,18.417123033446536,18.27712303344654,,,-0.5845686365579896,0.0,-17.42,-17.56,18.42,18.28,0.5,,20.199109531483096,0.0026275246194996742,0.9924399930808265,0.9026933681352661
ZTF18aaszvfn,59307.33,-15.89,0.88,59305.39,59306.36,2.0,4.0,6.0,109.0,101.0,-0.0,-0.0,-0.01,-0.03,-16.77,0.0,-16.8,0.0,59319.35,59314.33,0.0269,18.654299573025167,18.624299573025166,,,-0.3237187212194799,0.0,-16.77,-16.8,18.65,18.62,0.3,,20.034649846640427,0.0029499591056276232,0.9871726060534864,0.8553735231178667
ZTF18aawgrxz,59339.3,-15.34,1.15,59338.41,59338.855,1.0,12.0,75.0,68.0,24.0,-0.0,-0.0,-0.02,-0.02,-16.49,0.0,-16.03,0.0,59410.3,59349.35,0.02669,18.916941344690766,19.376941344690763,,,0.1316482880425452,0.42,-16.85,-16.53,18.55,18.87,1.2,0.0,20.31804212358961,0.002910131911607092,0.9770650468367771,0.8582268091649635
ZTF18aaxzlmy,58219.3,-14.85,0.92,58218.28,58218.79,1.0,,31.0,,9.0,-0.0,,-0.0,,-15.77,0.0,,,58296.3,,0.02487,19.48062898240862,,,,0.3254058803636633,0.99,-16.62,,18.63,,0.1,1.2,19.988456702298507,0.002511619305456315,0.9229185321631913,0.68986927972743
ZTF18abbpxik,58283.23,-15.41,2.06,58282.25,58282.740000000005,1.0,6.0,10.0,12.0,16.0,-0.0,-0.0,-0.01,-0.03,-17.47,0.0,-17.04,0.0,58301.23,58295.25,0.03236,18.36437636867214,18.79437636867214,,,0.2399248510152594,0.71,-18.08,-17.88,17.76,17.96,0.4,,21.83860413825808,0.010999740632535993,0.9932809057130083,0.9840793156125418
ZTF18abbpyvk,58286.19,-17.11,1.12,58283.23,58284.71000000001,3.0,6.0,8.0,6.0,31.0,-0.0,-0.0,-0.01,-0.04,-18.23,0.0,-17.81,0.0,58318.28,58300.19,0.02218,16.767685520190827,17.18768552019083,,,0.0307822055582305,0.07,-18.29,-17.89,16.71,17.1,0.4,,20.937736896899935,0.003906511359058376,0.9998143030590255,0.9926372253162483
ZTF18abcpmwh,58291.24,-16.78,0.78,58288.25,58289.745,3.0,2.0,4.0,5.0,44.0,-0.0,-0.0,-0.01,-0.04,-17.56,0.0,-17.52,0.0,58306.24,58301.18,0.01543,16.63865992534274,16.67865992534274,,,-0.3634736103387855,0.0,-17.56,-17.52,16.64,16.68,0.6,,21.13028072843977,0.00425424026228932,0.999861115092536,0.9948537418251161
ZTF18abdbysy,58295.2,-14.15,1.17,58294.35,58294.775,1.0,20.0,47.0,76.0,129.0,-0.0,-0.0,-0.01,-0.04,-15.32,0.0,-14.32,0.0,58311.25,58304.2,0.01127,18.189586526820626,19.189586526820626,1.9,1.482,0.6710780673501255,2.05,-17.08,-16.75,16.43,16.76,0.5,,21.568115361381366,0.01380260867305399,0.9954570314019436,0.9823087098901453
